Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  
11   7.7582320E+00   9.0304958E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   4.4259568E+00   4.6514912E+00   1.2811745E+01   9.4713573E+00   1.5635562E+02   6.9794869E+00   6.9910974E+00   3.3172374E+00   5.4820601E+00   2.6951762E+00   9.1154382E+00   6.0681057E+00   4.2367186E+00   5.6761531E+01   3.5060845E+00   4.6772226E+00   3.4453967E+00   1.7007157E+01   1.3973076E+01   1.0686258E+01   6.3518672E+00   3.7326182E+00   4.2838845E+01   5.7751488E+00   9.8320213E+00   6.0957776E+01   2.0372703E+01   5.9751699E+00   8.3865610E+00   6.1485771E+00   3.4564939E+00   1.4781631E+01   3.2242765E+00   3.4276340E+00   8.1598244E+00  
12   7.7582320E+00   9.0304958E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   4.4259568E+00   4.6514912E+00   1.2811745E+01   8.9445466E+00   2.4288827E+01   5.4550715E+00   6.9910974E+00   3.3172374E+00   5.4820601E+00   2.6951762E+00   9.1154382E+00   3.7252525E+00   4.2367186E+00   1.9783830E+01   3.5060845E+00   4.6772226E+00   3.4453967E+00   5.5059318E+00   8.8350536E+00   1.0686258E+01   6.3518672E+00   3.7326182E+00   5.8241530E+00   4.9793097E+00   9.8320213E+00   6.0957776E+01   1.2502779E+01   5.9751699E+00   8.3865610E+00   6.1485771E+00   3.2828521E+00   1.4781631E+01   3.2242765E+00   3.4276340E+00   8.1598244E+00  
13   7.7582320E+00   9.0304958E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   4.4259568E+00   4.6514912E+00   3.2847296E+00   8.9445466E+00   7.2008213E+00   5.4550715E+00   6.9910974E+00   3.3172374E+00   4.9405928E+00   2.6951762E+00   7.8921880E+00   3.7252525E+00   4.2367186E+00   1.2092886E+01   3.5060845E+00   4.6772226E+00   3.4453967E+00   3.9494412E+00   8.8350536E+00   1.0686258E+01   6.3518672E+00   3.5519600E+00   5.8241530E+00   4.8052586E+00   9.8320213E+00   7.1751797E+00   9.6483641E+00   5.9751699E+00   8.3865610E+00   6.1485771E+00   3.2828521E+00   1.4781631E+01   3.2242765E+00   3.4276340E+00   8.1598244E+00  
14   7.7582320E+00   9.0304958E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   3.8420719E+00   4.6514912E+00   3.2847296E+00   8.9445466E+00   6.7408092E+00   5.4550715E+00   6.9910974E+00   3.3172374E+00   4.9405928E+00   2.6951762E+00   7.8921880E+00   3.7252525E+00   4.2367186E+00   3.7682183E+00   3.5060845E+00   4.6772226E+00   3.4453967E+00   3.9494412E+00   8.8350536E+00   1.0686258E+01   5.4072451E+00   3.5519600E+00   5.8241530E+00   4.7611387E+00   9.8320213E+00   7.1751797E+00   9.6483641E+00   5.9751699E+00   8.3865610E+00   6.1485771E+00   3.2828521E+00   5.3785897E+00   3.2242765E+00   3.4276340E+00   7.4519293E+00  
15   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   3.8420719E+00   4.6514912E+00   3.2847296E+00   8.9445466E+00   4.5834945E+00   3.3105241E+00   6.8846723E+00   3.3172374E+00   4.9405928E+00   2.6951762E+00   7.8921880E+00   3.7252525E+00   4.2367186E+00   3.3707893E+00   3.5060845E+00   4.6772226E+00   3.4453967E+00   3.9494412E+00   8.8350536E+00   1.0686258E+01   5.4072451E+00   3.5519600E+00   5.8241530E+00   4.3856889E+00   9.8320213E+00   7.1751797E+00   9.6483641E+00   5.9751699E+00   8.3865610E+00   6.1485771E+00   3.2828521E+00   5.3785897E+00   3.2242765E+00   3.4276340E+00   7.4519293E+00  
16   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   3.8420719E+00   4.6514912E+00   3.2847296E+00   6.5048061E+00   4.5834945E+00   3.3105241E+00   6.8846723E+00   3.3172374E+00   4.9405928E+00   2.6951762E+00   7.8921880E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.5060845E+00   4.6772226E+00   3.4453967E+00   3.9494412E+00   8.8350536E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   5.8241530E+00   3.5341043E+00   9.8320213E+00   7.1751797E+00   9.6483641E+00   5.9751699E+00   8.3865610E+00   6.1485771E+00   3.0092509E+00   5.3785897E+00   3.2242765E+00   3.4276340E+00   7.4519293E+00  
17   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   3.8420719E+00   4.6514912E+00   3.2847296E+00   3.6368033E+00   3.5433902E+00   3.3105241E+00   6.8846723E+00   3.3172374E+00   4.9405928E+00   2.6951762E+00   7.8921880E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.5060845E+00   3.6941426E+00   3.4453967E+00   3.4851726E+00   8.8350536E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   9.8320213E+00   7.1751797E+00   9.6483641E+00   5.9751699E+00   8.3865610E+00   5.7638810E+00   3.0092509E+00   3.8376259E+00   3.2242765E+00   3.4276340E+00   7.4519293E+00  
18   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.4554178E+00   3.8420719E+00   3.1404589E+00   3.2847296E+00   3.6368033E+00   3.5433902E+00   3.2570726E+00   6.8846723E+00   3.3172374E+00   3.6672764E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.5060845E+00   3.6941426E+00   3.4453967E+00   3.1890360E+00   8.8350536E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   9.8320213E+00   7.1751797E+00   3.8850222E+00   5.9751699E+00   8.3865610E+00   5.7638810E+00   3.0092509E+00   3.8376259E+00   3.2242765E+00   3.4276340E+00   3.8381163E+00  
19   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.0831757E+00   3.8420719E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   3.5433902E+00   3.2570726E+00   6.8846723E+00   3.3172374E+00   3.6672764E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.5060845E+00   3.6941426E+00   3.4453967E+00   3.1890360E+00   7.5750172E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   9.8320213E+00   7.1751797E+00   3.8850222E+00   5.9751699E+00   8.3865610E+00   5.7638810E+00   3.0092509E+00   3.8376259E+00   2.8390869E+00   3.4276340E+00   3.8381163E+00  
20   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.0831757E+00   3.8420719E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   3.5433902E+00   3.2570726E+00   6.8846723E+00   3.3172374E+00   3.6672764E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.5060845E+00   3.6941426E+00   3.4453967E+00   3.1890360E+00   3.5167262E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   9.8320213E+00   7.1751797E+00   3.4831598E+00   5.9751699E+00   8.3865610E+00   5.4307320E+00   3.0092509E+00   3.8376259E+00   2.8390869E+00   3.4276340E+00   3.8381163E+00  
